mad_x,mad_y,mad_z,anomaly
0.011231000000000001,0.009032999999999985,0.005859000000000059,1
0.009766,0.00927699999999998,0.0063469999999999915,1
0.011718000000000006,0.010252999999999984,0.006836000000000064,1
0.010254000000000003,0.009764999999999996,0.0063469999999999915,1
0.010254,0.009521499999999988,0.006836000000000064,1
0.009765,0.00927699999999998,0.006835999999999842,1
0.011229999999999997,0.009521000000000002,0.005859999999999976,1
0.010254,0.00927699999999998,0.006347999999999909,1
0.010254000000000003,0.00927799999999998,0.00634749999999995,1
0.011231000000000001,0.00927699999999998,0.0058595000000000175,1
0.010254,0.008300999999999975,0.007080499999999934,1
0.010742,0.008788999999999991,0.006835999999999842,1
0.009765,0.008788999999999991,0.006835999999999842,1
0.009277500000000001,0.009033,0.0063469999999999915,1
0.011230499999999997,0.008788999999999991,0.006836000000000064,1
0.009765,0.009521000000000002,0.006836000000000064,1
0.009277,0.009765499999999996,0.006835999999999842,1
0.009765,0.009277000000000007,0.006348000000000131,1
0.011229999999999999,0.009277000000000007,0.006347999999999909,1
0.010498,0.009032999999999985,0.006835999999999842,1
0.009765,0.00927699999999998,0.006835999999999842,1
0.009278000000000002,0.008788999999999991,0.006836000000000064,1
0.009765,0.00927699999999998,0.0063469999999999915,1
0.010254000000000003,0.00976599999999997,0.006836000000000064,1
0.010498,0.00976599999999997,0.006591999999999987,1
0.011231,0.00927699999999998,0.0058595000000000175,1
0.009277,0.008788999999999964,0.0063469999999999915,1
0.009766,0.00927699999999998,0.006347999999999909,1
0.010498,0.0090335,0.005859999999999976,1
0.009277,0.00927699999999998,0.006835999999999842,1
0.010254,0.008788999999999991,0.006591999999999931,1
0.009277500000000001,0.008789000000000019,0.006347999999999909,1
0.010009999999999998,0.00927699999999998,0.006836000000000064,1
0.009765,0.00854499999999997,0.006836000000000064,1
0.009033000000000001,0.0090335,0.006836000000000064,1
0.011229999999999999,0.00976599999999997,0.007080000000000086,1
0.009278000000000002,0.009032999999999985,0.006836000000000064,1
0.010254000000000001,0.009521499999999988,0.006348000000000131,1
0.010254000000000001,0.008545000000000025,0.0063469999999999915,1
0.0097655,0.009764999999999996,0.006835999999999842,1
0.010742,0.00927699999999998,0.006347999999999909,1
0.009766,0.009522000000000003,0.006836000000000064,1
0.009766,0.00976599999999997,0.006836000000000064,1
0.0095215,0.008788999999999964,0.006836000000000064,1
0.009766,0.00927799999999998,0.006347999999999854,1
0.011474499999999997,0.00927699999999998,0.007079999999999864,1
0.009766,0.008788999999999991,0.006836000000000064,1
0.008789,0.008300999999999975,0.006348000000000131,1
0.010742000000000002,0.008788999999999991,0.0063469999999999915,1
0.010254,0.00927699999999998,0.006836000000000064,1
0.010497999999999999,0.008788999999999991,0.006347999999999909,1
0.011230999999999998,0.009765999999999997,0.006835999999999842,1
0.010254000000000003,0.009765999999999997,0.006592000000000042,1
0.0109865,0.00927699999999998,0.006836000000000064,1
0.010742999999999999,0.009277000000000007,0.006836000000000064,1
0.009766,0.009764999999999996,0.00634749999999995,1
0.009765,0.009765999999999997,0.007323999999999997,1
0.009766,0.00927699999999998,0.006836000000000064,1
0.008789000000000002,0.009521499999999974,0.006835999999999842,1
0.009277,0.009276999999999994,0.006836000000000064,1
0.009033000000000001,0.00927749999999998,0.007079999999999864,1
0.009277,0.00927699999999998,0.006347999999999909,1
0.010742499999999999,0.009764999999999996,0.006836000000000064,1
0.009765,0.00976599999999997,0.006836000000000064,1
0.008789,0.008788999999999991,0.006835999999999842,1
0.009765999999999999,0.009032999999999985,0.006836000000000064,1
0.010254,0.00927799999999998,0.007323999999999997,1
0.011475,0.00927799999999998,0.006836000000000064,1
0.009277,0.00976599999999997,0.006835999999999842,1
0.008545000000000004,0.00927699999999998,0.007323999999999997,1
0.009766,0.009277000000000007,0.006591500000000083,1
0.010254000000000003,0.008789000000000019,0.006347999999999909,1
0.011229999999999999,0.008788999999999964,0.006835999999999842,1
0.01001,0.00927799999999998,0.007323999999999997,1
0.010254,0.008789000000000005,0.006836000000000064,1
0.008789000000000002,0.00927699999999998,0.006836000000000064,1
0.008789000000000002,0.00927699999999998,0.007323999999999997,1
0.010742,0.009765999999999997,0.0068350000000000355,1
0.008789,0.00927799999999998,0.006835999999999842,1
0.010498,0.010253999999999985,0.006836000000000064,1
0.009765000000000003,0.00976599999999997,0.006836000000000064,1
0.010742,0.00927799999999998,0.0068350000000000355,1
0.009521500000000002,0.00976599999999997,0.006835999999999842,1
0.009766,0.00927699999999998,0.005859000000000059,1
0.009278000000000002,0.00854499999999997,0.006347000000000214,1
0.008789000000000002,0.008788999999999991,0.0063469999999999915,1
0.010254000000000001,0.009764999999999996,0.007323999999999997,1
0.0097655,0.008789000000000019,0.006592000000000042,1
0.010009499999999998,0.00927799999999998,0.007323999999999997,1
0.010254,0.00976599999999997,0.0063469999999999915,1
0.009522000000000001,0.008788999999999964,0.006347999999999909,1
0.009766,0.009764999999999996,0.007080000000000031,1
0.01001,0.00976599999999997,0.006836000000000064,1
0.009766,0.010009999999999991,0.007567999999999908,1
0.01001,0.009764999999999996,0.006836000000000064,1
0.010498500000000001,0.009277000000000007,0.007323999999999997,1
0.009521000000000002,0.00830100000000003,0.0063469999999999915,1
0.010254,0.010253999999999985,0.006347999999999909,1
0.01001,0.009277000000000007,0.006836000000000064,1
0.010254,0.009033,0.006347000000000214,1
0.010742,0.008300999999999975,0.005859000000000059,1
0.010498,0.009033,0.006347999999999909,1
0.009277,0.008788999999999964,0.006835999999999842,1
0.010254,0.008788999999999991,0.006836000000000064,1
0.0109865,0.0090335,0.007812999999999848,1
0.010254,0.009277000000000007,0.00634749999999995,1
0.0097655,0.008789000000000019,0.0063469999999999915,1
0.010254,0.009521000000000002,0.006347000000000214,1
0.010742000000000002,0.008788999999999964,0.006347500000000061,1
0.009766,0.009032999999999985,0.006591999999999987,1
0.009277,0.009032999999999985,0.006835999999999842,1
0.008789000000000002,0.008789000000000005,0.006347999999999909,1
0.009277,0.00927699999999998,0.0063469999999999915,1
0.010254,0.00927799999999998,0.006347000000000214,1
0.010254,0.008788999999999991,0.006835999999999842,1
0.009277,0.009277000000000007,0.006836000000000064,1
0.009278000000000002,0.009032999999999985,0.006835999999999842,1
0.009277,0.008788999999999991,0.007323999999999997,1
0.009277,0.00830100000000003,0.006836000000000064,1
0.011231,0.009765999999999997,0.0068350000000000355,1
0.008789000000000002,0.009764999999999996,0.007324999999999915,1
0.008789000000000002,0.00927699999999998,0.007324999999999915,1
0.0104985,0.008788999999999991,0.006836000000000064,1
0.009765,0.008788999999999991,0.007323999999999997,1
