x,y,z,count,weight,speed
0.0,0.19775399999999999,0.961426,0,0,0
0.013672,0.21044899999999997,0.997559,0,0,0
0.003418,0.200684,0.9858399999999999,0,0,0
0.015625,0.198242,0.973145,0,0,0
0.004883,0.21044899999999997,0.9863280000000001,0,0,0
0.003418,0.192383,0.9633790000000001,0,0,0
0.016602000000000002,0.21923800000000002,0.999023,0,0,0
0.001953,0.20263699999999998,0.972168,0,0,0
0.018066,0.205566,0.9873049999999999,0,0,0
0.003418,0.199707,0.9931639999999999,0,0,0
0.014648,0.20361300000000002,0.9672850000000001,0,0,0
0.01123,0.205078,0.979981,0,0,0
0.007324,0.19873,0.9897459999999999,0,0,0
0.005371,0.18896500000000002,0.9741209999999999,0,0,0
0.012695,0.21337899999999999,0.9873049999999999,0,0,0
0.002441,0.200684,0.972168,0,0,0
0.014648,0.21093800000000001,0.986816,0,0,0
-0.000488,0.196777,0.9858399999999999,0,0,0
0.019531,0.207031,0.9785159999999999,0,0,0
0.008789,0.199707,0.985352,0,0,0
-0.001465,0.19531300000000001,0.9780270000000001,0,0,0
0.015137000000000001,0.20751999999999998,0.9941409999999999,0,0,0
-0.001953,0.20263699999999998,0.979981,0,0,0
0.015137000000000001,0.20849600000000001,0.977051,0,0,0
-0.001465,0.212402,0.979492,0,0,0
0.002441,0.20654299999999998,0.973633,0,0,0
0.01709,0.21142600000000003,0.985352,0,0,0
0.005371,0.20165999999999998,0.9858399999999999,0,0,0
0.0063479999999999995,0.19433599999999998,0.9873049999999999,0,0,0
0.008301000000000001,0.20459000000000002,0.980957,0,0,0
0.000977,0.20263699999999998,0.9790040000000001,0,0,0
0.015625,0.212402,0.995117,0,0,0
-0.00293,0.20263699999999998,0.9838870000000001,0,0,0
0.012695,0.20654299999999998,0.976563,0,0,0
0.003906,0.199219,0.972168,0,0,0
0.00293,0.193359,0.9755860000000001,0,0,0
0.013184,0.201172,0.985352,0,0,0
0.00293,0.20459000000000002,0.9667969999999999,0,0,0
0.017578,0.195801,0.9785159999999999,0,0,0
0.014648,0.199219,0.977051,0,0,0
0.001953,0.200684,0.9746090000000001,0,0,0
0.015625,0.205078,0.9902340000000001,0,0,0
0.006836,0.199219,0.989258,0,0,0
0.014159999999999999,0.199707,0.9931639999999999,0,0,0
0.01123,0.20459000000000002,0.985352,0,0,0
0.001953,0.201172,0.9814450000000001,0,0,0
0.009276999999999999,0.20263699999999998,1.002441,0,0,0
-0.00293,0.200195,0.980957,0,0,0
0.014159999999999999,0.200195,0.9785159999999999,0,0,0
0.005371,0.20263699999999998,0.9814450000000001,0,0,0
0.0058590000000000005,0.193848,0.9741209999999999,0,0,0
